ticker,name,weight_pct,quantity,market_value_krw,close_price,price_change,return_1w_pct,yfinance_ticker
KR4AAD660009,섹터지수 2차전지 TOP 10 F 202606,56.8,31.97,158155590.0,4947000.0,176000.0,3.69,KR4AAD660009
364980,TIGER 2차전지TOP10,12.4,2458.0,34510320.0,14040.0,495.0,3.65,364980.KS
006400,삼성SDI,9.5,39.0,26520000.0,680000.0,35000.0,5.43,006400.KS
005490,POSCO홀딩스/포스코홀딩스,7.4,44.0,20526000.0,466500.0,45000.0,10.68,005490.KS
373220,LG에너지솔루션,7.1,42.0,19824000.0,472000.0,-6000.0,-1.26,373220.KS
051910,LG화학,1.7,12.0,4728000.0,394000.0,4500.0,1.16,051910.KS
086520,에코프로,1.4,25.0,4037500.0,161500.0,-2200.0,-1.34,086520.KS
247540,에코프로비엠,1.1,14.0,2989000.0,213500.0,-7000.0,-3.17,247540.KS
096770,SK이노베이션,1.0,20.0,2660000.0,133000.0,-500.0,-0.37,096770.KS
003670,포스코퓨처엠,0.8,9.0,2367000.0,263000.0,6500.0,2.53,003670.KS
066970,엘앤에프,0.5,7.0,1435000.0,205000.0,8600.0,4.38,066970.KS
011790,SKC,0.3,7.0,870800.0,124400.0,14100.0,12.78,011790.KS
